no,name,year,cc,distance,color,gear,fuel,option,seat,flooding,insurance,release,price
181,람보르기니 아벤타도르 LP700-4,2015,6498,25700,흰색,자동,가솔린,0,2,0,0,56330,34900
13,람보르기니 아벤타도르 LP700-4,2011,6498,26460,주황색,자동,가솔린,0,2,0,0,57500,30000
39,롤스로이스 고스트 시리즈2 V12 6.6,2016,6592,5390,기타색상,자동,가솔린,0,4,0,0,41000,29990
232,롤스로이스 고스트 시리즈2 V12 6.6,2016,6592,27000,은색,자동,가솔린,47,4,0,2,41000,23900
288,맥라렌 650S 스파이더,2018,3799,6240,빨간색,자동,가솔린,31,2,0,0,35900,21800
44,포르쉐 뉴 파나메라 4.0 터보 스포츠 투리스모 971,2019,3996,8000,파란색,자동,가솔린,48,5,0,0,25090,19000
81,포르쉐 911 타르가 4 GTS 991,2019,3800,5700,빨간색,자동,가솔린,0,4,0,0,19660,19000
24,마세라티 그란카브리오 4.7 스포츠,2019,4691,10000,흰색,자동,가솔린,32,4,0,0,24100,18500
75,애스턴마틴 뱅퀴시 V12 볼란테,2015,5935,15900,검정색,자동,가솔린,0,4,0,6,39900,17800
172,포르쉐 뉴 파나메라 2.9 4S 971,2018,2894,8000,검정색,자동,가솔린,43,4,0,0,17370,17000
19,포르쉐 뉴 파나메라 2.9 4S 971,2018,2894,8000,검정색,자동,가솔린,43,4,0,0,17370,17000
122,랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피 L405,2018,4367,5986,검정색,자동,디젤,69,5,0,0,20440,16300
283,BMW i8 로드스터,2019,1499,720,진회색,자동,가솔린,42,2,0,0,21970,15900
130,BMW i8 로드스터,2019,1499,720,진회색,자동,가솔린,42,2,0,0,21970,15900
99,BMW M5 6세대 세단 컴페티션 35주년 에디션,2020,4395,1680,진회색,자동,가솔린,0,5,0,0,16900,15600
341,포르쉐 뉴 파나메라 2.9 4S 971,2018,2894,49000,진회색,자동,가솔린,46,4,0,1,17370,15300
395,벤틀리 컨티넨탈 GT 2세대 6.0 스피드,2014,5998,44000,흰색,자동,가솔린,30,4,0,0,28000,15000
260,포르쉐 뉴 파나메라 3.0 4 971,2018,2995,26000,검정색,자동,가솔린,53,4,0,2,13750,14700
